taxonId,treeId,location,startTime,endTime
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,19100000,ChinaHubei,2020.117427327134,2019.9414712150176
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,19200000,Brazil,2020.1584699453551,2020.1584227731344
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,19200000,Italy,2020.1584227731344,2020.1427376595093
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,19200000,UK,2020.1427376595093,2020.1011905304358
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,19200000,ChinaHubei,2020.1011905304358,2019.932056164241
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,19300000,Brazil,2020.1584699453551,2020.1557880531047
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,19300000,Italy,2020.1557880531047,2020.0661148926383
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,19300000,ChinaHubei,2020.0661148926383,2019.9428329369807
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,19400000,Brazil,2020.1584699453551,2020.1582773933203
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,19400000,Italy,2020.1582773933203,2020.0684852585277
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,19400000,ChinaHubei,2020.0684852585277,2019.9625661023522
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,19500000,Brazil,2020.1584699453551,2020.1578797443874
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,19500000,Italy,2020.1578797443874,2020.060596191895
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,19500000,ChinaHubei,2020.060596191895,2019.9567235905622
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,19600000,Brazil,2020.1584699453551,2020.1579091799995
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,19600000,Italy,2020.1579091799995,2020.0613597889417
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,19600000,ChinaHubei,2020.0613597889417,2019.9179090139314
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,19700000,Brazil,2020.1584699453551,2020.157437121003
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,19700000,Italy,2020.157437121003,2020.1133295488603
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,19700000,Thailand,2020.1133295488603,2020.1114698971207
