flight_matrix,Australia,Belgium,Brazil,Cambodia,Canada,ChinaAnhui,ChinaBeijing,ChinaChongqing,ChinaFujian,ChinaGuangdong,ChinaHenan,ChinaHongKong,ChinaHubei,ChinaHunan,ChinaJiangsu,ChinaJiangxi,ChinaShandong,ChinaSichuan,ChinaYunnan,ChinaZhejiang,Finland,France,Germany,India,Iran,Italy,Japan,Luxembourg,Mexico,Nepal,Netherlands,NewZealand,Nigeria,Portugal,Singapore,SouthKorea,Sweden,Switzerland,Taiwan,Thailand,UK,USA,Vietnam
ChinaHenan,99.33001,0.33001,0.23001,9.41001,13.84001,107.01001,2186.81001,1165.41001,2047.65001,6030.94001,0,378.21001,0.23001,142.49001,136.04001,235.65001,581.53001,1440.70001,2132.52001,2086.02001,0.14001,7.02001,5.66001,7.53001,1.00E-05,1.95001,66.18001,1.00E-05,0.07001,2.01001,1.53001,11.86001,1.00E-05,1.00E-05,107.33001,113.12001,0.23001,0.45001,498.05001,102.55001,9.33001,62.88001,13.46001
ChinaHongKong,4162.52001,61.90001,118.63001,304.19001,1636.11001,85.75001,5068.04001,461.38001,2536.17001,406.58001,378.21001,0,405.99001,116.34001,1043.55001,25.85001,394.11001,818.45001,702.67001,2181.30001,152.93001,822.11001,894.39001,1833.93001,1.05001,611.39001,9234.59001,5.90001,40.88001,172.00001,310.69001,742.72001,40.34001,63.92001,6940.87001,6474.73001,112.37001,309.05001,15015.25001,8511.90001,2828.33001,4852.45001,1681.22001
ChinaHubei,111.08001,1.37001,4.01001,20.13001,21.46001,0.11001,5357.52001,1745.39001,2450.20001,5583.09001,0.23001,405.99001,0,0.15001,286.56001,28.36001,1533.75001,2039.67001,2507.57001,2553.63001,0.29001,71.52001,21.05001,18.05001,1.00E-05,11.59001,116.53001,0.27001,1.05001,2.43001,3.87001,13.62001,0.05001,0.67001,236.92001,111.89001,2.05001,5.45001,514.08001,282.05001,50.27001,58.83001,58.56001
ChinaHunan,68.11001,1.68001,0.23001,12.16001,10.54001,460.98001,4711.19001,1561.24001,3118.85001,2520.45001,142.49001,116.34001,0.15001,0,2066.67001,0.44001,1321.56001,1285.58001,2384.19001,2309.11001,0.09001,11.14001,15.26001,9.64001,1.00E-05,4.62001,38.40001,1.00E-05,0.76001,1.48001,3.96001,7.78001,1.00E-05,0.05001,101.20001,311.82001,0.78001,1.56001,496.97001,70.75001,20.76001,53.68001,25.40001
ChinaJiangsu,214.16001,4.32001,6.93001,10.45001,8.50001,2.47001,3500.52001,2308.96001,3278.84001,9006.30001,136.04001,1043.55001,286.56001,2066.67001,0,417.29001,959.88001,2704.96001,2095.76001,187.11001,0.16001,9.99001,82.50001,22.34001,1.00E-05,18.96001,100.02001,1.00E-05,0.58001,2.60001,4.36001,14.32001,0.23001,0.51001,182.09001,612.89001,7.28001,4.43001,1394.56001,66.25001,25.93001,40.70001,49.59001
ChinaJiangxi,20.58001,0.02001,0.05001,4.55001,2.41001,35.94001,2976.95001,645.06001,1765.52001,4697.37001,235.65001,25.85001,28.36001,0.44001,417.29001,0,785.41001,883.55001,1088.82001,264.85001,1.00E-05,2.35001,2.48001,3.88001,1.00E-05,1.34001,21.15001,1.00E-05,0.24001,0.65001,0.16001,1.66001,1.00E-05,0.05001,43.74001,18.88001,0.24001,0.10001,200.02001,10.67001,3.07001,14.20001,9.16001
ChinaShandong,193.86001,0.85001,1.99001,18.68001,32.90001,472.71001,6241.43001,1797.19001,2769.18001,7427.44001,581.53001,394.11001,1533.75001,1321.56001,959.88001,785.41001,0,2187.20001,1743.48001,3516.52001,0.82001,25.84001,67.75001,41.28001,1.00E-05,20.72001,959.87001,1.00E-05,1.89001,2.01001,3.94001,21.61001,0.36001,0.53001,464.16001,4502.74001,2.04001,3.87001,974.72001,252.55001,26.49001,126.02001,36.20001
ChinaSichuan,147.73001,4.25001,2.71001,77.02001,53.69001,740.44001,9894.98001,178.37001,2238.79001,14388.54001,1440.70001,818.45001,2039.67001,1285.58001,2704.96001,883.55001,2187.20001,0,6387.22001,4039.15001,1.33001,42.64001,43.39001,76.01001,1.00E-05,20.63001,158.70001,1.02001,1.03001,81.08001,18.70001,23.56001,1.29001,0.38001,423.86001,233.80001,3.96001,8.73001,718.65001,768.89001,70.44001,186.70001,130.63001
ChinaYunnan,59.19001,0.79001,0.21001,220.95001,12.98001,811.36001,5616.77001,4752.36001,2224.30001,6606.92001,2132.52001,702.67001,2507.57001,2384.19001,2095.76001,1088.82001,1743.48001,6387.22001,0,4257.45001,1.00E-05,9.59001,16.03001,105.54001,1.00E-05,6.50001,59.47001,1.00E-05,0.77001,148.86001,2.23001,14.76001,1.00E-05,0.19001,245.56001,284.02001,1.01001,2.39001,312.48001,1081.57001,14.90001,52.30001,89.91001
ChinaZhejiang,183.62001,14.17001,10.71001,39.02001,13.02001,103.61001,10885.51001,3188.01001,3767.16001,18588.76001,2086.02001,2181.30001,2553.63001,2309.11001,187.11001,264.85001,3516.52001,4039.15001,4257.45001,0,0.65001,94.60001,70.69001,237.33001,1.00E-05,291.50001,219.45001,0.54001,0.24001,14.64001,33.42001,18.34001,10.62001,7.36001,446.28001,859.08001,5.62001,4.37001,2282.72001,837.89001,45.85001,121.78001,122.25001
Finland,114.82001,368.12001,50.81001,2.23001,57.15001,1.00E-05,121.57001,32.16001,1.18001,2.29001,0.14001,152.93001,0.29001,0.09001,0.16001,1.00E-05,0.82001,1.33001,1.00E-05,0.65001,0,945.97001,2937.20001,125.18001,0.84001,770.21001,515.90001,21.99001,47.38001,2.99001,693.72001,10.55001,3.41001,152.70001,91.94001,48.91001,2576.93001,635.47001,13.62001,410.94001,1756.95001,744.78001,55.23001
